na,Timestamp,lat,long,obs1,Obs1_bird_dist,shooter,Shoot_bird_dist,obs2,Obs2_bird_dist,hwk,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,Basal Area 10m,Dbh_largest,AudioID,VisualID,SocialGroup,Target,Spp,Scientific,BirdTree,Angle,Sex,Proximity,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_under_height,Pre_Bird_Dense,Pre_Vocal,Pre_Behav,Mid_Vocal,"Mid ,Behav",Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist (Dive_Dist),Post_Bird_Height,Post_Bird_Dense,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,5m_dense,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Notes,Behav_notes,Veg_dense_mid,Veg_under_low,Veg_notes,zoom_wav,voice_record_wav,Rec_reviewed,Recording_Notes,selection,call_type,AlarmExport,alarm,flock
1,230704-102432,-12.535691,-69.007386,VLW,6.7,vlw,6.7,na,na,1,na,na,na,na,na,NA,1,solo,0,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,M,na,na,21.1,7.3,1.6,1,na,na,na,1122,forage,forage,na,forage,na,forage,na,na,na,na,6.5,8.4,16.4,24.9,na,na,na,na,na,na,na,na,na,na,na,na,"silent when observed initially & mid/post flight, but pair came together calling often, but I don’t think positive response",na,na,na,20230704_102432,na,na,na,na,na,na,0,na
2,230704-105431,-12.534465,-69.007924,VLW,8.6,vlw,8.6,na,na,1,na,na,na,na,na,na,1,msf,0,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,M,na,a,25.4,6.3,0.7,4.8,na,na,na,2222,call,forage,alarm,dv,alarm,unk,na,na,na,na,5.4,27.4,27.4,na,na,na,na,na,na,na,na,na,na,na,na,na,"flew away after hawk launch, then alarmed called from another spot",na,na,na,20230704_105431,na,na,na,na,A2,230704_105431_Thamnomanes_ardesiacus_m_a,1,na
3,230706-084357,-12.53128,-69.01331,VLW,8.7,vlw,8.7,na,na,1,na,na,na,na,na,na,1,solo,0,laeu,Lathrotriccus euleri,Lathrotriccus euleri,na,U,na,q,18.8,5,4.1,4.1,na,na,na,1111,sing,sit,silent,dv,sing,sit,na,na,na,1222,4.7,11.1,14.8,24.5,na,na,na,na,na,na,na,na,na,na,na,na,"good shot seen by bird, dive/hide into denser veg, then started calling/singing again",na,na,na,ZOOM0114_Tr1.wav,na,na,na,ZOOM0114_Tr1.Table.1.selections.txt,na,na,0,na
4,230707-094226,-12.534058,-69.009656,VLW,8.8,vlw,8.8,na,na,1,na,na,na,na,na,na,1,solo,0,trco,Trogon collaris,Trogon collaris,na,M,na,q,17.6,3.4,2,3.2,na,na,na,1231,quiet,sit,silent,dv,silent,sit,na,na,na,3321,9.4,11.4,18.4,23.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,ZOOM0122_Tr1.WAV,na,na,na,na,na,na,0,na
5,230707-102302,-12.53427,-69.00932,VLW,9.2,vlw,9.2,na,na,1,na,na,na,na,na,na,1,pair,0,euch,Euphonia chlorotica,Euphonia chlorotica,na,M,na,q,23,9,1,9,na,na,na,3322,sing,sit,silent,dv,silent,hide,na,na,na,3344,8.9,13.6,na,31,na,na,na,na,na,na,na,na,na,na,na,na,flew up to canopy,na,na,didn’t write down can_low,ZOOM0124_Tr1.WAV,na,na,na,na,na,na,0,na
6,230707-105511,-12.534256,-69.009086,VLW,7.7,vlw,7.7,na,na,1,na,na,na,na,na,na,1,msf,0,mylo,Myrmotherula longipennis,Myrmotherula longipennis,na,M,na,q,16.4,5.6,5,2.8,na,na,na,1112,call,forage,silent,dv,call,forage,na,na,na,1121,11.7,25.1,21.1,25.1,na,na,na,na,na,na,na,na,na,na,na,na,"all flock went pretty quiet, felt they weren’t affected by me before shot however",na,na,na,ZOOM0126_Tr1.WAV,na,na,na,na,C1,na,0,na
7,230707-105511,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,haru,Habia rubica,Habia rubica,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11.7,25.1,21.1,25.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
8,230707-105511,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,auin,Automolus infuscatus,Automolus infuscatus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11.7,25.1,21.1,25.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
9,230707-105511,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,mylo,Myrmotherula longipennis,Myrmotherula longipennis,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11.7,25.1,21.1,25.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
10,230707-105511,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,xiel,Xiphorhynchus elegans,Xiphorhynchus elegans,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11.7,25.1,21.1,25.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
11,230708-064826,-12.53221,-69.01147,VLW,8.8,vlw,8.8,na,na,1,na,na,na,na,na,na,1,msf,0,haru,Habia rubica,Habia rubica,na,m,na,c,11.3,3.5,2.5,5.8,na,na,na,1122,call,sally,call,dv,call,sit,na,7.1,na,2121,5.9,7.8,21.2,31,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,ZOOM0130_Tr1.WAV,na,na,na,na,C1,na,0,na
