Index,Timestamp,lat,long,Obs1_bird_dist,Shoot_bird_dist,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,SocialGroup,Target,TarSpp,Scientific,BirdTree,Alarm_Presence,Alarm_Qty,Alarm_Spp,Alarm_Sex,Alarm_Conspecific,abundance,richness,Angle,Tar_Sex,Proximity,alarm,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_Under_Avg,Veg_under_height,Pre_Bird_Dense,Bird_Dense_Avg,Pre_Vocal,Pre_Behav,Mid_Vocal,Mid_Behav,Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist,Post_Bird_Height,Post_Bird_Dense,Post_Dense_Avg,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Rad_10_Avg,flock
62,230715-122124,-12.54231,-69.00564,10,11,na,na,na,msf,1,mylo,,,0,0,none,n,0,5,3,na,m,na,,q,9,8,4,10,27,1221,1.5,1,3223,2.5,quiet,ss,quiet,forage,call,gl,na,0,7,3223,2.5,6,11,13,28,1,3,3,2,2,1,1,2,3,3,2.1,na
67,230715-145459,-12.54049,-69.00627,6,11,na,na,na,msf,1,myhy,,,0,0,none,n,0,3,2,na,f,na,,q,15,3,6,0,0,3324,3,3,3324,3,Alarm_terrestrial,mob,quiet,fz,Alarm_terrestrial,mob,20,0,0,3324,3,7,15,20,26,4,4,3,4,2,3,2,3,1,1,2.7,na
70,230715-162200,-12.53909,-69.00436,14,15,na,na,na,msf,1,haru,,,0,0,none,n,0,3,2,na,m,na,,c,17,4,5,3,7,2344,3.25,3,3322,2.5,call,sh,call,dv,call,vs,0,4,4,3333,3,8,15,18,27,4,4,4,2,2,3,2,1,2,2,2.6,na
73,230717-062424,-12.52873,-69.01390,12,13,na,na,na,solo,1,foan,,,0,0,none,n,0,1,1,na,u,na,,q,11,3,3,0,0,1112,1.25,2.4,1112,1.25,quiet,fl,quiet,dv,quiet,flee,0,8,0,1223,2,7,13,24,40,1,3,2,3,2,1,1,2,2,2,1.9,na
74,230717-074338,-12.531590,-69.012168,6,10,na,na,na,solo,1,cyar,,,0,0,none,n,0,1,1,na,u,na,,q,16,3,3,2,4,2333,2.75,4,2233,2.5,sing,glean,quiet,dv,sing,gl,0,14,3,3323,2.75,7.5,15.6,12,17,3,3,4,3,3,2,3,2,2,2,2.7,na
75,230717-082845,-12.53241,-69.01146,12,12,2nd,na,na,msf,1,xigu,,,0,0,none,n,0,3,3,na,u,na,,q,15,4,2,5,31,1112,1.25,3,1002,0.75,quiet,pr,quiet,hd,quiet,dive,10,0,1,2211,1.5,6,11,19,31,2,1,1,2,3,3,2,1,3,3,2.1,na
80,230718-081348,-12.52967,-69.01266,13,10,na,na,na,msf,1,hyma,,,0,0,none,n,0,4,3,na,u,na,,q,16,3,4,0,2,2213,2,3,2213,2,quiet,ss,quiet,"fz, VS",quiet,ss,10,0,0,2233,2.5,4.2,13,17,24,2,4,3,3,3,2,1,1,1,1,2.1,na
81,230718-081348,na,na,na,na,na,na,na,msf,1,hyma,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,3,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4.2,13,17,24,na,na,na,na,na,na,na,na,na,na,0,na
82,230718-081348,na,na,na,na,na,na,na,msf,1,myhy,,,,,,,,,,na,f,na,,na,na,na,na,na,na,na,#VALUE!,3,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4.2,13,17,24,na,na,na,na,na,na,na,na,na,na,0,na
83,230718-081348,na,na,na,na,na,na,na,msf,1,moni,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,3,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4.2,13,17,24,na,na,na,na,na,na,na,na,na,na,0,na
84,230718-092541,-12.53493,-69.01044,11,13,na,na,na,pair,1,mylo,,,1,1,mylo,f,1,2,1,na,f,na,,a,17,4,1,4,7,2313,2.25,2.4,1001,0.5,call,glean,alarm,mob,alarm,"vs, mob",0,4,5,2231,2,6,12,18,28,4,2,1,1,1,2,3,3,2,2,2.1,na
85,230718-092541,na,na,na,na,na,na,na,pair,1,mylo,,,,,,,,,,na,m,na,,na,na,na,na,na,na,na,#VALUE!,2.4,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,12,18,28,na,na,na,na,na,na,na,na,na,na,0,na
89,230718-131702,-12.53319,-69.99767,10,9,na,na,na,msf,1,trme,,,0,0,none,n,0,4,3,na,f,na,,q,16,5,3,4,13,3243,3,3,2211,1.5,quiet,sit,quiet,vs,quiet,vs,60,4,4,2211,1.5,6,17,no,no,3,4,4,4,2,1,2,1,1,1,2.3,na
